date,firm_name,amount_chf,type,location,firm_name_norm,firm_name_clean,ehraid,uid,legal_seat
2021-03-20,Calingo Insurance AG,830'000,Convertible loan,Niederweningen,calingo insurance ag,calingo insurance ag,1442947.0,CHE482680199,Niederweningen
2021-03-22,Aseptuva AG,15'000,Grant,Bern,aseptuva ag,aseptuva ag,1469109.0,CHE386976333,Bern
2021-03-22,M.A. Med Alliance SA,46'300'000,Equity,,m.a. med alliance sa,m.a. med alliance sa,909491.0,CHE114307623,Schaffhausen
2021-03-22,Akroswiss AG,Undisclosed,Equity,Zug,akroswiss ag,akroswiss ag,855982.0,CHE113309559,Zug
2021-03-24,CompPair Technologies SA,950'000,Equity,Lausanne,comppair technologies sa,comppair technologies sa,1421625.0,CHE298133861,Ecublens (VD)
2021-03-24,Gjosa SA,Undisclosed,Equity,Biel/Bienne,gjosa sa,gjosa sa,1272095.0,CHE197563023,Biel/Bienne
2021-03-24,Eversys S.A.,110'000'000,Equity,Ardon,eversys s.a.,eversys s.a.,954884.0,CHE115034362,Sierre
2021-03-24,INERGIO Technologies SA,100'000,Loan,Lausanne,inergio technologies sa,inergio technologies sa,1449260.0,CHE139710604,Chexbres
2021-03-25,Virtual Global Trading AG,Undisclosed,Equity,Aarau,virtual global trading ag,virtual global trading ag,1363646.0,CHE213443299,Aarau
2021-03-25,LEDCity AG,2'000'000,Equity,Zürich,ledcity ag,ledcity ag,1304170.0,CHE376567447,Zürich
2021-03-29,Gondola Medical Technologies SA,500'000,Loan,Epalinges,gondola medical technologies sa,gondola medical technologies sa,1022341.0,CHE411255977,Epalinges
2021-03-29,Liquity AG,5'560'080,Equity,Baar,liquity ag,liquity ag,1433844.0,CHE184101707,Zürich
2021-03-30,UpGrain AG,25'000,Award,Appenzell,upgrain ag,upgrain ag,1473568.0,CHE490915737,Appenzell
2021-03-30,ATLyphe AG,10'000,Grant,Zürich ETH-Zentrum,atlyphe ag,atlyphe ag,1598280.0,CHE141651856,Zürich
2021-03-30,Aisot Technologies AG,270'000,Equity,Zürich,aisot technologies ag,aisot technologies ag,1476807.0,CHE163651563,Zürich
2021-03-31,Mithras Technology AG,Undisclosed,Equity,Landquart,mithras technology ag,mithras technology ag,1371033.0,CHE215505876,Chur
2021-03-31,Qaptis Sàrl,100'000,Grant,Sion,qaptis sàrl,qaptis sàrl,1495714.0,CHE239683362,Ecublens (VD)
2021-03-31,Stableton Financial AG,Undisclosed,Equity,Zürich,stableton financial ag,stableton financial ag,1369444.0,CHE359212026,Zug
2021-03-31,Workspace2go AG,Undisclosed,Equity,Zürich,workspace2go ag,workspace2go ag,1276828.0,CHE138508520,Zürich
2021-03-31,Vitruvian Shield SA,600'000,Equity,Epalinges,vitruvian shield sa,vitruvian shield sa,1252190.0,CHE390132812,Epalinges
2021-03-31,Avoodoo AG,Undisclosed,Equity,Zürich,avoodoo ag,avoodoo ag,1485221.0,CHE413274307,Zürich
2021-03-31,Lyyna Insurance & Financial Services AG,Undisclosed,Equity,Uster,lyyna insurance & financial services ag,lyyna insurance & financial services ag,1437347.0,CHE148637260,Uster
2021-04-01,RatioX sàrl,Undisclosed,Equity,Lausanne,ratiox sàrl,ratiox sàrl,1319993.0,CHE467743289,Lausanne
2021-04-01,biped robotics SA,20'000,Grant,Epalinges,biped robotics sa,biped robotics sa,1470042.0,CHE388584292,Epalinges
2021-04-01,DeepJudge AG,50'000,Convertible loan,Zürich,deepjudge ag,deepjudge ag,1468499.0,CHE376843268,Zürich
2021-04-01,Potiio GmbH,275'000,Grant,Zürich,potiio gmbh,potiio gmbh,1468121.0,CHE323014641,Zürich
2021-04-01,Biosimo AG,130'000,Grant,Zürich ETH-Hönggerberg,biosimo ag,biosimo ag,1535874.0,CHE275849546,Zürich
2021-04-01,CASUS Technologies AG,Undisclosed,Equity,Zürich,casus technologies ag,casus technologies ag,1404106.0,CHE440838879,Zürich
2021-04-01,Limula SA,150'000,Grant,La Tour-de-Peilz,limula sa,limula sa,1459463.0,CHE409279000,La Tour-de-Peilz
2021-04-06,STIMIT AG,Undisclosed,Equity,Nidau,stimit ag,stimit ag,1348280.0,CHE154160102,Biel/Bienne
2021-04-06,Flybotix SA,1'000'000,Equity,Renens,flybotix sa,flybotix sa,1377802.0,CHE352588973,Renens (VD)
2021-04-07,QUMEA AG,1'800'000,Equity,Solothurn,qumea ag,qumea ag,1409696.0,CHE439197016,Solothurn
